Once	['on one occasion', 'as soon as', 'at a previous time']
frog	['any of various tailless stout-bodied amphibians with long hind limbs for leaping; semiaquatic and terrestrial species', 'a person of French descent', 'a decorative loop of braid or cord', 'hunt frogs for food']
!	[]
"	[]
instead	['in place of, or as an alternative to', 'on the contrary']
of	[]
"	[]
Hari	[]
Hari	[]
grew	['pass into a condition gradually, take on a specific property or attribute; become', 'become larger, greater, or bigger; expand or gain', 'increase in size by natural process', 'cause to grow or develop', 'develop and reach maturity; undergo maturation', 'come into existence; take on form or shape', 'cultivate by growing, often involving improvements by means of agricultural techniques', 'come to have or undergo a change of (physical features and attributes)', 'grow emotionally or mature', 'become attached by or as if by the process of growth']
up	['raise', 'being or moving higher in position or greater in some value; being above a former position or level', 'out of bed', 'getting higher or more vigorous', 'extending or moving toward a higher place', "(usually followed by `on' or `for') in readiness", 'open', '(used of computers) operating properly', 'used up', 'spatially or metaphorically from a lower to a higher position', 'to a higher intensity', 'nearer to the speaker', 'to a more central or a more northerly place', 'to a later time']
,	[]
got	['come into the possession of something concrete or abstract', 'enter or assume a certain state or condition', 'cause to move; cause to be in a certain position or condition', 'receive a specified treatment (abstract)', 'reach a destination; arrive by movement or progress', 'go or come after and bring or take back', 'go through (mental or physical states or experiences)', 'take vengeance on or get even', 'achieve a point or goal', 'cause to do; cause to act in a specified manner', 'succeed in catching or seizing, especially after a chase', 'come to have or undergo a change of (physical features and attributes)', 'be stricken by an illness, fall victim to an illness', 'communicate with a place or person; establish communication with, as if by telephone', 'give certain properties to something', 'move into a desired direction of discourse', 'grasp with the mind or develop an understanding of', 'attract and fix', 'reach with a blow or hit in a particular spot', 'reach by calculation', 'acquire as a result of some effort or action', 'purchase', 'perceive by hearing', 'suffer from the receipt of', 'receive as a retribution or punishment', 'leave immediately; used usually in the imperative form', 'reach and board', 'irritate', 'evoke an emotional response', 'apprehend and reproduce accurately', 'earn or achieve a base by being walked by the pitcher', 'overcome or destroy', 'be a mystery or bewildering to', 'take the first step or steps in carrying out an action', 'undergo (as of injuries and illnesses)', 'make children']
married	['a person who is married', 'take in marriage', 'perform a marriage ceremony', 'joined in matrimony', 'of or relating to the state of marriage']
and	[]
raised	['raise the level or amount of something', 'raise from a lower to a higher position', 'cause to be heard or known; express or utter', 'collect funds for a specific purpose', 'cultivate by growing, often involving improvements by means of agricultural techniques', 'bring up', 'summon into action or bring into existence, often as if by magic', 'move upwards', 'construct, build, or erect', 'call forth (emotions, feelings, and responses)', 'create a disturbance, especially by making a great noise', 'raise in rank or condition', 'increase', 'give a promotion to or assign to a higher position', 'cause to puff up with a leaven', "bid (one's partner's suit) at a higher level", 'bet more than the previous player', 'cause to assemble or enlist in the military', 'put forward for consideration or discussion', 'pronounce (vowels) by bringing the tongue closer to the roof of the mouth', 'activate or stir up', 'establish radio communications with', 'multiply (a number) by itself a specified number of times: 8 is 2 raised to the power 3', 'bring (a surface or a design) into relief and cause to project', 'invigorate or heighten', 'put an end to', 'cause to become alive again', 'located or moved above the surround or above the normal position', 'embellished with a raised pattern created by pressure or embroidery', 'increased in amount or degree']
a	['a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation', 'any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes', 'one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)', '(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA', "the basic unit of electric current adopted under the Systeme International d'Unites", 'the 1st letter of the Roman alphabet', 'the blood group whose red cells carry the A antigen']
huge	['unusually great in size or amount or degree or especially extent or scope; ; ; ; ; ; ; ; ; - W.R.Inge']
family	['a social unit living together', 'primary social group; parents and children', 'a collection of things sharing a common attribute', 'people descended from a common ancestor', 'a person having kinship with another or others', '(biology) a taxonomic group containing one or more genera', 'a loose affiliation of gangsters in charge of organized criminal activities', 'an association of people who share common beliefs or activities']
.	[]
Finding	['the act of determining the properties of something, usually by research or calculation', 'the decision of a court on issues of fact or law', 'something that is found', 'come upon, as if by accident; meet with', 'discover or determine the existence, presence, or fact of', 'come upon after searching; find the location of something that was missed or lost', 'establish after a calculation, investigation, experiment, survey, or study', 'come to believe on the basis of emotion, intuitions, or indefinite grounds', 'perceive or be contemporaneous with', 'get something or somebody for a specific purpose', 'make a discovery, make a new finding', 'make a discovery', 'obtain through effort or management', 'decide on and make a declaration about', 'receive a specified treatment (abstract)', 'perceive oneself to be in a certain condition or place', 'get or find back; recover the use of', 'succeed in reaching; arrive at', "accept and make use of one's personality, abilities, and situation"]
his	[]
native	['an indigenous person who was born in a particular place', 'a person born in a particular place or country', 'indigenous plants and animals', 'characteristic of or existing by virtue of geographic origin', 'belonging to one by birth', 'characteristic of or relating to people inhabiting a region from the beginning', 'as found in nature in the elemental form']
village	['a community of people smaller than a town', 'a settlement smaller than a town', "a mainly residential district of Manhattan; `the Village' became a home for many writers and artists in the 20th century"]
too	['to a degree exceeding normal or proper limits', 'in addition']
small	['the slender part of the back', 'a garment size for a small person', 'limited or below average in number or quantity or magnitude or extent', 'limited in size or scope', '(of children and animals) young, immature', 'slight or limited; especially in degree or intensity or scope', 'low or inferior in station or quality', 'lowercase', '(of a voice) faint', 'have fine or very small constituent particles', 'not large but sufficient in size or amount', 'made to seem smaller or less (especially in worth)', 'on a small scale']
for	[]
his	[]
family	['a social unit living together', 'primary social group; parents and children', 'a collection of things sharing a common attribute', 'people descended from a common ancestor', 'a person having kinship with another or others', '(biology) a taxonomic group containing one or more genera', 'a loose affiliation of gangsters in charge of organized criminal activities', 'an association of people who share common beliefs or activities']
,	[]
Hari	[]
migrated	['move from one country or region to another and settle there', 'move periodically or seasonally']
to	[]
a	['a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation', 'any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes', 'one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)', '(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA', "the basic unit of electric current adopted under the Systeme International d'Unites", 'the 1st letter of the Roman alphabet', 'the blood group whose red cells carry the A antigen']
big	['above average in size or number or quantity or magnitude or extent', 'significant', 'very intense', 'loud and firm', 'conspicuous in position or importance', 'prodigious', 'exhibiting self-importance', 'feeling self-importance', '(of animals) fully developed', 'marked by intense physical force', 'generous and understanding and tolerant', 'given or giving freely', 'in an advanced stage of pregnancy', 'extremely well', 'in a boastful manner', 'on a grand scale', 'in a major way']
city	['a large and densely populated urban area; may include several independent administrative districts', 'an incorporated administrative district established by state charter', 'people living in a large densely populated municipality']
.	[]
He	['a very light colorless element that is one of the six inert gasses; the most difficult gas to liquefy; occurs in economically extractable amounts in certain natural gases (as those found in Texas and Kansas)', 'the 5th letter of the Hebrew alphabet']
found	['food and lodging provided in addition to money', 'set up or found', 'set up or lay the groundwork for', 'use as a basis for; found on', 'come upon, as if by accident; meet with', 'discover or determine the existence, presence, or fact of', 'come upon after searching; find the location of something that was missed or lost', 'establish after a calculation, investigation, experiment, survey, or study', 'come to believe on the basis of emotion, intuitions, or indefinite grounds', 'perceive or be contemporaneous with', 'get something or somebody for a specific purpose', 'make a discovery, make a new finding', 'make a discovery', 'obtain through effort or management', 'decide on and make a declaration about', 'receive a specified treatment (abstract)', 'perceive oneself to be in a certain condition or place', 'get or find back; recover the use of', 'succeed in reaching; arrive at', "accept and make use of one's personality, abilities, and situation", 'come upon unexpectedly or after searching']
emptoyment	[]
in	['a unit of length equal to one twelfth of a foot', 'a rare soft silvery metallic element; occurs in small quantities in sphalerite', 'a state in midwestern United States', 'holding office', 'directed or bound inward', 'currently fashionable', 'to or toward the inside of']
a	['a metric unit of length equal to one ten billionth of a meter (or 0.0001 micron); used to specify wavelengths of electromagnetic radiation', 'any of several fat-soluble vitamins essential for normal vision; prevents night blindness or inflammation or dryness of the eyes', 'one of the four nucleotides used in building DNA; all four nucleotides have a common phosphate group and a sugar (ribose)', '(biochemistry) purine base found in DNA and RNA; pairs with thymine in DNA and with uracil in RNA', "the basic unit of electric current adopted under the Systeme International d'Unites", 'the 1st letter of the Roman alphabet', 'the blood group whose red cells carry the A antigen']
rich	['people who have possessions and wealth (considered as a group)', 'possessing material wealth', 'having an abundant supply of desirable qualities or substances (especially natural resources)', 'of great worth or quality', 'marked by great fruitfulness', 'strong; intense', 'very productive', 'high in mineral content; having a high proportion of fuel to air; ,', 'suggestive of or characterized by great expense', 'containing plenty of fat, or eggs, or sugar', 'marked by richness and fullness of flavor', 'pleasantly full and mellow', 'affording an abundant supply']
man	['an adult person who is male (as opposed to a woman)', 'someone who serves in the armed forces; a member of a military force', 'the generic use of the word to refer to any human being', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'a male subordinate', 'an adult male person who has a manly character (virile and courageous competent)', 'a manservant who acts as a personal attendant to his employer', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'one of the British Isles in the Irish Sea', 'game equipment consisting of an object used in playing certain board games', 'all of the living human inhabitants of the earth', 'take charge of a certain job; occupy a certain work place', 'provide with workers']
's	[]
house	['a dwelling that serves as living quarters for one or more families', 'the members of a business organization that owns or operates one or more establishments', 'the members of a religious community living together', 'the audience gathered together in a theatre or cinema', 'an official assembly having legislative powers', 'aristocratic family line', 'play in which children take the roles of father or mother or children and pretend to interact like adults', '(astrology) one of 12 equal areas into which the zodiac is divided', 'the management of a gambling house or casino', 'a social unit living together', 'a building where theatrical performances or motion-picture shows can be presented', 'a building in which something is sheltered or located', 'contain or cover', 'provide housing for']
.	[]
While	['a period of indeterminate length (usually short) marked by some action or condition']
Hari	[]
did	['engage in', 'carry out or perform an action', 'get (something) done', 'proceed or get along', 'give rise to; cause to happen or occur, not always intentionally', 'carry out or practice; as of jobs and professions', 'be sufficient; be adequate, either in quality or quantity', 'create or design, often in a certain way', 'behave in a certain manner; show a certain behavior; conduct or comport oneself', 'spend time in prison or in a labor camp', 'carry on or function', 'arrange attractively', 'travel or traverse (a distance)']
menial	['a domestic servant', 'used of unskilled work (especially domestic work)']
work	['activity directed toward making or doing something', 'a product produced or accomplished through the effort or activity or agency of a person or thing', 'the occupation for which you are paid', 'applying the mind to learning and understanding a subject (especially by reading)', '(physics) a manifestation of energy; the transfer of energy from one physical system to another expressed as the product of a force and the distance through which it moves a body in the direction of that force', 'a place where work is done', 'the total output of a writer or artist (or a substantial part of it)', 'exert oneself by doing mental or physical work for a purpose or out of necessity', 'be employed', 'have an effect or outcome; often the one desired or expected', 'perform as expected when applied', 'shape, form, or improve a material', 'give a workout to', 'proceed along a path', 'operate in a certain place, area, or specialty', 'proceed towards a goal or along a path or through an activity', 'move in an agitated manner', 'cause to happen or to occur as a consequence', 'cause to work', 'prepare for crops', 'behave in a certain way when handled', 'have and exert influence or effect', 'operate in or through', 'cause to operate or function', 'provoke or excite', 'gratify and charm, usually in order to influence', 'make something, usually for a specific function', 'move into or onto', 'make uniform', "use or manipulate to one's advantage", 'find the solution to (a problem or question) or understand the meaning of', 'cause to undergo fermentation', 'go sour or spoil', 'arrive at a certain condition through repeated motion']
,	[]
his	[]
wife	["a married woman; a man's partner in marriage"]
cooked	['prepare a hot meal', 'prepare for eating by applying heat', 'transform and make suitable for consumption by heating', 'tamper, with the purpose of deception', 'transform by heating', 'having been prepared for eating by the application of heat']
and	[]
his	[]
children	['a young person of either sex', 'a human offspring (son or daughter) of any age', 'an immature childish person', 'a member of a clan or tribe']
tended	['have a tendency or disposition to do or be something; be inclined', 'have care of or look after', 'manage or run']
the	[]
cattle	['domesticated bovine animals as a group regardless of sex or age; ; ; - Bible']
of	[]
the	[]
rich	['people who have possessions and wealth (considered as a group)', 'possessing material wealth', 'having an abundant supply of desirable qualities or substances (especially natural resources)', 'of great worth or quality', 'marked by great fruitfulness', 'strong; intense', 'very productive', 'high in mineral content; having a high proportion of fuel to air; ,', 'suggestive of or characterized by great expense', 'containing plenty of fat, or eggs, or sugar', 'marked by richness and fullness of flavor', 'pleasantly full and mellow', 'affording an abundant supply']
man	['an adult person who is male (as opposed to a woman)', 'someone who serves in the armed forces; a member of a military force', 'the generic use of the word to refer to any human being', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'a male subordinate', 'an adult male person who has a manly character (virile and courageous competent)', 'a manservant who acts as a personal attendant to his employer', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'one of the British Isles in the Irish Sea', 'game equipment consisting of an object used in playing certain board games', 'all of the living human inhabitants of the earth', 'take charge of a certain job; occupy a certain work place', 'provide with workers']
,	[]
After	['located farther aft', 'happening at a time subsequent to a reference time', 'behind or in the rear']
some	['quantifier; used with either mass nouns or plural count nouns to indicate an unspecified number or quantity', 'relatively much but unspecified in amount or extent', 'relatively many but unspecified in number', 'remarkable', '(of quantities) imprecise but fairly close to correct']
time	['an instance or single occasion for some event', 'a period of time considered as a resource under your control and sufficient to accomplish something', 'an indefinite period (usually marked by specific attributes or activities)', 'a suitable moment', 'the continuum of experience in which events pass from the future through the present to the past', "a person's experience on a particular occasion", 'a reading of a point in time as given by a clock', 'the fourth coordinate that is required (along with three spatial dimensions) to specify a physical event', 'rhythm as given by division into parts of equal duration', 'the period of time a prisoner is imprisoned', 'measure the time or duration of an event or action or the person who performs an action in a certain period of time', 'assign a time for an activity or event', 'set the speed, duration, or execution of', 'regulate or set the time of', 'adjust so that a force is applied and an action occurs at the desired time']
the	[]
rich	['people who have possessions and wealth (considered as a group)', 'possessing material wealth', 'having an abundant supply of desirable qualities or substances (especially natural resources)', 'of great worth or quality', 'marked by great fruitfulness', 'strong; intense', 'very productive', 'high in mineral content; having a high proportion of fuel to air; ,', 'suggestive of or characterized by great expense', 'containing plenty of fat, or eggs, or sugar', 'marked by richness and fullness of flavor', 'pleasantly full and mellow', 'affording an abundant supply']
man	['an adult person who is male (as opposed to a woman)', 'someone who serves in the armed forces; a member of a military force', 'the generic use of the word to refer to any human being', 'any living or extinct member of the family Hominidae characterized by superior intelligence, articulate speech, and erect carriage', 'a male subordinate', 'an adult male person who has a manly character (virile and courageous competent)', 'a manservant who acts as a personal attendant to his employer', 'a male person who plays a significant role (husband or lover or boyfriend) in the life of a particular woman', 'one of the British Isles in the Irish Sea', 'game equipment consisting of an object used in playing certain board games', 'all of the living human inhabitants of the earth', 'take charge of a certain job; occupy a certain work place', 'provide with workers']
's	[]
jughter	[]
happened	['come to pass', 'happen, occur, or be the case in the course of events or by chance; ;  (Santayana)', 'chance to be or do something, without intention or causation', 'come into being; become reality', 'come upon, as if by accident; meet with']
to	[]
be	['a light strong brittle grey toxic bivalent metallic element', 'have the quality of being; (copula, used with an adjective or a predicate noun)', 'be identical to; be someone or something', 'occupy a certain position or area; be somewhere', 'have an existence, be extant', 'happen, occur, take place', 'be identical or equivalent to', 'form or compose', 'work in a specific place, with a specific subject, or in a specific function', 'represent, as of a character on stage', 'spend or use time', 'have life, be alive', 'to remain unmolested, undisturbed, or uninterrupted -- used only in infinitive form', 'be priced at']
married	['a person who is married', 'take in marriage', 'perform a marriage ceremony', 'joined in matrimony', 'of or relating to the state of marriage']
For	[]
this	[]
marriage	['the state of being a married couple voluntarily joined for life (or until divorce)', 'two people who are married to each other', 'the act of marrying; the nuptial ceremony', 'a close and intimate union']
great	['a person who has achieved distinction and honor in some field', 'relatively large in size or number or extent; larger than others of its kind', 'of major significance or importance', 'remarkable or out of the ordinary in degree or magnitude or effect', 'very good', 'uppercase', 'in an advanced stage of pregnancy']
preparations	['the activity of putting or setting in order in advance of some act or purpose', 'a substance prepared according to a formula', 'the cognitive process of thinking about what you will do in the event of something happening', 'the state of having been made ready or prepared for use or action (especially military action)', '(music) a note that produces a dissonant chord is first heard in a consonant chord', 'activity leading to skilled behavior', 'preparatory school work done outside school (especially at home)', 'the act of preparing something (as food) by the application of heat']
